tweet_id,tweet,clause,topic,sentiment,sentiment_score,manual_sentiment
0,¿cuál ha sido el mejor concierto al que has ido este año?,¿ cuál ha sido el mejor concierto al que has ido este año,pregunta,neutral,0.477,neutral
1,"@cruillabcn @estrelladammcat @vueling @vallformosa @johnniewalker_ @placeboworld @offspring @sigurros @alt_j @franz_ferdinand @leiva_oficial @antonia_font @rubenblades aneu a cagar. viva suecia - cala vento, franz ferdinand - carolina durante solapats",aneu a cagar,unknown,negative,0.766,negative
1,"@cruillabcn @estrelladammcat @vueling @vallformosa @johnniewalker_ @placeboworld @offspring @sigurros @alt_j @franz_ferdinand @leiva_oficial @antonia_font @rubenblades aneu a cagar. viva suecia - cala vento, franz ferdinand - carolina durante solapats","viva suecia - cala vento , franz ferdinand - carolina durante solapats",unknown,neutral,0.54,neutral
2,"@cruillabcn @punt_cat9 us heu deixat el subjecte, que és essencial. spain. gràcies de totes maneres.","us heu deixat el subjecte , que és essencial",precios,negative,0.518,negative
2,"@cruillabcn @punt_cat9 us heu deixat el subjecte, que és essencial. spain. gràcies de totes maneres.",gràcies de totes maneres,unknown,positive,0.563,positive
3,"@estrelladammcat @jamiecullum @cruillabcn dificil triar només una cançó, però em quedo amb ""all at sea""! i vull anar amb la @monicacondins!","dificil triar només una cançó , però",unknown,negative,0.475,neutral
3,"@estrelladammcat @jamiecullum @cruillabcn dificil triar només una cançó, però em quedo amb ""all at sea""! i vull anar amb la @monicacondins!","em quedo amb "" all at sea """,unknown,neutral,0.513,neutral
3,"@estrelladammcat @jamiecullum @cruillabcn dificil triar només una cançó, però em quedo amb ""all at sea""! i vull anar amb la @monicacondins!",i vull anar amb la,unknown,neutral,0.6,neutral
4,"@cruillabcn dr.calypso milefo bunbury (insuperable) red hot chili peppers [sant jordi 2006] bunbury i extremoduro jack white, altra vegada al cruïlla, amb “the raconteurs” enrolleu-vos!!","calypso milefo bunbury ( insuperable ) red hot chili peppers [ sant jordi 2006 ] bunbury i extremoduro jack white , altra vegada al cruïlla , amb “ the raconteurs ” enrolleu-vos",unknown,neutral,0.373,neutral
5,@offspring @cruillabcn if i had met you on the train.. omg,i had met you on the train,unknown,neutral,0.58,neutral
