tweet,Assigned_Topic_ID,Assignment_Confidence,Assigned_Topic_Name
Lildami lo dieron todo toa,0,0.13061063214465055,convenciooo
me encantó la comida del festival xq,4,0.4779307888885524,sonido
The Tyets hizo vibrar al público,0,0.5957249762067909,convenciooo
La comida estuvo increíble,1,1.0,comida
esperamos muchísimo para entrar,-1,0.24947366623603134,Unknown
Ambiente regular como siempre xq,0,0.02654644544970738,convenciooo
Sonido distorsionado y muy alto porque fue brutal,0,0.043835599307018275,convenciooo
The Tyets lo dieron todo,0,0.43429157715640115,convenciooo
Quevedo estuvo genial,0,0.03998050775657582,convenciooo
Sonido distorsionado y muy alto,3,1.0,alto
audio brutal toa,0,0.04387022591862935,convenciooo
Bad Gyal lo dieron todo,0,0.1273355377332109,convenciooo
La comida estuvo increíble,1,1.0,comida
me encantó la comida del festival bno,4,0.4795897506967007,sonido
No había casi colas,2,1.0,colas
El sonido fue perfecto ya que fue brutal,4,1.0,sonido
Muy buen ambiente cuando fue brutal,0,1.0,convenciooo
Tiempos de espera razonables,1,1.0,comida
Tiempos de espera razonables,1,1.0,comida
Muy mal organizado todo porque fue brutal,-1,0.016271896532460955,Unknown
Tiempos de espera razonables k,1,1.0,comida
Ambiente regular como siempre,0,0.026240529646354163,convenciooo
Esperamos muchísimo para entrar,-1,0.28884588489220137,Unknown
Ambiente cargado y mal rollo,3,0.24310521734026985,alto
Me encantó la comida del festival porque fue brutal,1,1.0,comida
desastre en la organización,2,0.034704522661670345,colas
La comida estuvo increíble,1,1.0,comida
Organización como cualquier festival,2,0.2308044362203903,colas
Demasiada gente agobiante,1,0.3125253145413574,comida
The Tyets estuvo genial,0,0.4336798500204427,convenciooo
Rosalía lo dieron todo,0,0.6156739855950653,convenciooo
tiempos de espera razonables xq,1,1.0,comida
Colas interminables un desastre,-1,0.024414117266196342,Unknown
Demasiada gente agobiante,1,0.31277220551234985,comida
Muy buen ambiente,0,0.031848933943720036,convenciooo
Tiempos de espera razonables,1,1.0,comida
Sonido distorsionado y muy alto,3,1.0,alto
Muy buen ambiente toa,0,0.031858934802038344,convenciooo
Sonido distorsionado y muy alto,3,1.0,alto
Ambiente cargado y mal rollo cuando fue brutal,0,1.0,convenciooo
Carísima y mala la comida,3,1.0,alto
Esperamos muchísimo para entrar super biennn,-1,0.2872827425895418,Unknown
Tiempos de espera razonables genialll,1,1.0,comida
Comida normal nada especial,-1,0.27868614555136173,Unknown
Organización como cualquier festival,2,0.23094667880488623,colas
el sonido fue perfecto,4,1.0,sonido
lildami estuvo genial,0,0.04358476377888476,convenciooo
Buhos hizo vibrar al público bno,0,0.6101255196599951,convenciooo
Muy buen ambiente,0,0.031787093011604206,convenciooo
Esperamos muchísimo para entrar cuando fue brutal,-1,0.24843991191455847,Unknown
Buhos estuvo genial,0,0.04042433178254343,convenciooo
Esperamos muchísimo para entrar bno,-1,0.2872023897694394,Unknown
No había casi colas,2,1.0,colas
Lildami lo dieron todo,0,0.13113770332064453,convenciooo
Sonido distorsionado y muy alto porque fue brutal,0,0.04383494088723915,convenciooo
Esperamos muchísimo para entrar,-1,0.28856236494859255,Unknown
organización como cualquier festival,0,0.041453822675767804,convenciooo
comida normal nada especial,-1,0.28149933391667187,Unknown
Comida normal nada especial,-1,0.2788732095529756,Unknown
Desastre en la organización,2,0.03487878139685715,colas
Muy mal organizado todo,-1,0.01654601020800904,Unknown
Organización como cualquier festival bno,2,0.22981437886361458,colas
tiempos de espera razonables,1,1.0,comida
Muy mal organizado todo,-1,0.0165510720192039,Unknown
Colas interminables un desastre,-1,0.02440285319010455,Unknown
Ambiente cargado y mal rollo,3,0.24238512084841166,alto
