tweet,aspect,sentiment,idioma
El menjar estava boníssim!,menjar,positive,ca
"Comida normal, nada especial.",menjar,neutral,es
L'ambient era increïble!,ambient,positive,ca
Muy mal organizado todo.,organització,negative,es
"Stay Homas bé, però sense emocionar.",artistes,neutral,ca
Organización como cualquier festival.,organització,neutral,es
The Tyets van fer el que s’esperava.,artistes,neutral,es
"Colas interminables, un desastre.",cues,negative,es
"Ambiente regular, como siempre.",ambient,neutral,ca
"Organización impecable, sin fallos.",organització,positive,es
El volumen estaba fatal.,so,negative,ca
Organización como cualquier festival.,organització,neutral,ca
Organització desastrosa a l'entrada.,organització,negative,es
Rosalía va fer un concert brutal!,artistes,positive,ca
"Organización impecable, sin fallos.",organització,positive,ca
Organització desastrosa a l'entrada.,organització,negative,ca
La comida estaba fatal.,menjar,negative,ca
"El menjar estava bé, sense destacar.",menjar,neutral,ca
Organización como cualquier festival.,organització,neutral,es
Muy mal organizado todo.,organització,negative,es
"Colas interminables, un desastre.",cues,negative,es
El volumen estaba fatal.,so,negative,es
The Tyets van fer el que s’esperava.,artistes,neutral,es
"No había casi colas, genial.",cues,positive,ca
Cues normals per un festival així.,cues,neutral,es
Stay Homas son brutales en vivo.,artistes,positive,es
Gairebé no hi havia cues.,cues,positive,es
"Ambiente regular, como siempre.",ambient,neutral,ca
"No había casi colas, genial.",cues,positive,ca
Lildami no va connectar amb el públic.,artistes,negative,ca
El menjar estava boníssim!,menjar,positive,es
Lildami va fer el seu paper.,artistes,neutral,es
"Colas interminables, un desastre.",cues,negative,ca
El so era correcte.,so,neutral,es
"Organización impecable, sin fallos.",organització,positive,es
Massa gent i ambient incòmode.,ambient,negative,es
El menjar era car i dolent.,menjar,negative,ca
Cues normals per un festival així.,cues,neutral,ca
"Muy buen ambiente, buena vibra.",ambient,positive,ca
Cues normals per un festival així.,cues,neutral,es
Cues eternes i mal organitzades.,cues,negative,ca
"Colas interminables, un desastre.",cues,negative,ca
Rigoberta Bandini va complir.,artistes,neutral,es
El so era correcte.,so,neutral,es
La comida estaba increíble.,menjar,positive,es
El menjar era car i dolent.,menjar,negative,ca
Organització desastrosa a l'entrada.,organització,negative,es
"Comida normal, nada especial.",menjar,neutral,ca
Lildami va fer vibrar el públic.,artistes,positive,es
"El sonido estaba bien, sin más.",so,neutral,es
Lildami va fer el seu paper.,artistes,neutral,ca
Ambient típic de festival.,ambient,neutral,ca
La comida estaba increíble.,menjar,positive,ca
Massa gent i ambient incòmode.,ambient,negative,ca
La comida estaba fatal.,menjar,negative,es
"El menjar estava bé, sense destacar.",menjar,neutral,es
Lildami va fer vibrar el públic.,artistes,positive,es
Lildami va fer vibrar el públic.,artistes,positive,es
The Tyets van ser molt avorrits.,artistes,negative,ca
El so era correcte.,so,neutral,es
Massa gent i ambient incòmode.,ambient,negative,es
"Organización impecable, sin fallos.",organització,positive,es
Organización como cualquier festival.,organització,neutral,es
"Organización impecable, sin fallos.",organització,positive,ca
Organización como cualquier festival.,organització,neutral,es
Muy mal organizado todo.,organització,negative,ca
Organització desastrosa a l'entrada.,organització,negative,es
"El menjar estava bé, sense destacar.",menjar,neutral,es
Cues normals per un festival així.,cues,neutral,ca
Rosalía no em va convèncer gens.,artistes,negative,ca
"Muy buen ambiente, buena vibra.",ambient,positive,es
Cues eternes i mal organitzades.,cues,negative,es
El sonido fue perfecto.,so,positive,ca
"Muy buen ambiente, buena vibra.",ambient,positive,es
El so era espectacular.,so,positive,ca
La comida estaba fatal.,menjar,negative,es
Cues normals per un festival així.,cues,neutral,es
Gairebé no hi havia cues.,cues,positive,ca
"Comida normal, nada especial.",menjar,neutral,es
"El menjar estava bé, sense destacar.",menjar,neutral,es
La comida estaba fatal.,menjar,negative,ca
"Organización impecable, sin fallos.",organització,positive,ca
"Colas interminables, un desastre.",cues,negative,ca
Gairebé no hi havia cues.,cues,positive,ca
The Tyets van fer el que s’esperava.,artistes,neutral,es
"Ambiente regular, como siempre.",ambient,neutral,ca
Organización como cualquier festival.,organització,neutral,es
"No había casi colas, genial.",cues,positive,ca
Ambient típic de festival.,ambient,neutral,ca
Cues eternes i mal organitzades.,cues,negative,es
The Tyets van fer el que s’esperava.,artistes,neutral,es
Muy mal organizado todo.,organització,negative,ca
Gairebé no hi havia cues.,cues,positive,ca
Rosalía va fer un concert brutal!,artistes,positive,ca
Organització desastrosa a l'entrada.,organització,negative,ca
La comida estaba increíble.,menjar,positive,ca
Buhos van sonar fluixos.,artistes,negative,ca
Ambiente cargado y mal rollo.,ambient,negative,es
"Organización impecable, sin fallos.",organització,positive,es
La comida estaba increíble.,menjar,positive,ca
Muy mal organizado todo.,organització,negative,ca
Gairebé no hi havia cues.,cues,positive,ca
