tweet,aspect,sentiment,idioma
Comida carísima y mala.,comida,negative,es
"Comida normal, nada especial.",comida,neutral,es
Me encantó la comida del festival.,comida,positive,es
"El sonido estaba bien, sin más.",sonido,neutral,es
"Organización impecable, sin fallos.",organización,positive,es
"Demasiada gente, agobiante.",ambiente,negative,es
La comida estaba increíble.,comida,positive,es
Me encantó la comida del festival.,comida,positive,es
"Comida normal, nada especial.",comida,neutral,es
"Ambiente regular, como siempre.",ambiente,neutral,es
Me encantó la comida del festival.,comida,positive,es
El volumen estaba fatal.,sonido,negative,es
Comida carísima y mala.,comida,negative,es
"El sonido estaba bien, sin más.",sonido,neutral,es
Nada especial en el ambiente.,ambiente,neutral,es
"Entré rapidísimo, sin hacer cola.",colas,positive,es
"Comida normal, nada especial.",comida,neutral,es
The Tyets cumplieron.,artistas,neutral,es
"Comida normal, nada especial.",comida,neutral,es
Sonido distorsionado y muy alto.,sonido,negative,es
Rosalía no convenció nada.,artistas,negative,es
"Ambiente regular, como siempre.",ambiente,neutral,es
Sonido distorsionado y muy alto.,sonido,negative,es
"Muy buen ambiente, buena vibra.",ambiente,positive,es
"Organización impecable, sin fallos.",organización,positive,es
El ambiente fue perfecto.,ambiente,positive,es
"Correcto, pero nada destacable.",sonido,neutral,es
Stay Homas decepcionantes.,artistas,negative,es
"Correcto, pero nada destacable.",sonido,neutral,es
Ambiente cargado y mal rollo.,ambiente,negative,es
La comida estaba increíble.,comida,positive,es
Ambiente cargado y mal rollo.,ambiente,negative,es
Todo muy bien organizado.,organización,positive,es
Tiempos de espera razonables.,colas,neutral,es
Nada especial en el ambiente.,ambiente,neutral,es
La comida estaba fatal.,comida,negative,es
"Colas interminables, un desastre.",colas,negative,es
Organización como cualquier festival.,organización,neutral,es
Organización como cualquier festival.,organización,neutral,es
Desastre total en la entrada.,organización,negative,es
La calidad del audio fue brutal.,sonido,positive,es
El volumen estaba fatal.,sonido,negative,es
Me encantó la comida del festival.,comida,positive,es
Ambiente cargado y mal rollo.,ambiente,negative,es
Sonido distorsionado y muy alto.,sonido,negative,es
"Correcto, pero nada destacable.",sonido,neutral,es
La comida estaba increíble.,comida,positive,es
