tweet,sentiment,language
Nada fuera de lo común,neutral,es
No hi tornaré més,negative,ca
¡Qué pasada de noche!,positive,es
Se retrasaron todos los conciertos,negative,es
El sonido era pésimo,negative,es
Va estar correcte,neutral,ca
Demasiado caro para lo que ofrecen,negative,es
Molt bon so aquest any,positive,ca
¡Qué pasada de noche!,positive,es
Malísima experiencia,negative,es
El festival va ser com sempre,neutral,ca
Lo esperado de un festival así,neutral,es
Qué buena organización,positive,es
¡Qué pasada de noche!,positive,es
Demasiada gente y mal ambiente,negative,es
La comida estaba deliciosa,positive,es
No estuvo mal,neutral,es
No estuvo mal,neutral,es
"Ben organitzat, sense més",neutral,ca
No hi tornaré més,negative,ca
El menjar estava deliciós,positive,ca
Malísima experiencia,negative,es
Lo esperado de un festival así,neutral,es
Me lo he pasado genial,positive,es
La comida estaba deliciosa,positive,es
Va estar correcte,neutral,ca
Tot va sortir perfecte,positive,ca
El festival fue como otros años,neutral,es
"Regular, pero aceptable",neutral,es
"Ben organitzat, sense més",neutral,ca
Molt bon so aquest any,positive,ca
Organització molt dolenta,negative,ca
El so era molt dolent,negative,ca
"Regular, però acceptable",neutral,ca
Se retrasaron todos los conciertos,negative,es
Molt bon so aquest any,positive,ca
¡Qué pasada de noche!,positive,es
No sorprendió,neutral,es
El ambiente fue espectacular,positive,es
Els artistes van estar genials,positive,ca
L'ambient va ser espectacular,positive,ca
¡Qué pasada de noche!,positive,es
Organització molt dolenta,negative,ca
Muy buen sonido este año,positive,es
Els artistes van estar genials,positive,ca
No sorprendió,neutral,es
¡Qué pasada de noche!,positive,es
El festival fue como otros años,neutral,es
Els lavabos feien fàstic,negative,ca
Qué buena organización,positive,es
Demasiada gente y mal ambiente,negative,es
Muy buen sonido este año,positive,es
Nada fuera de lo común,neutral,es
El festival fue como otros años,neutral,es
Qué buena organización,positive,es
No em va agradar gens,negative,ca
Lo esperado de un festival así,neutral,es
¡Qué pasada de noche!,positive,es
Res fora del normal,neutral,ca
No em va agradar gens,negative,ca
Una experiència normal,neutral,ca
La comida estaba deliciosa,positive,es
El menjar estava deliciós,positive,ca
Res fora del normal,neutral,ca
Todo salió perfecto,positive,es
Muy buen sonido este año,positive,es
"Regular, però acceptable",neutral,ca
Res fora del normal,neutral,ca
Lo esperado de un festival así,neutral,es
Organització molt dolenta,negative,ca
Molt bon so aquest any,positive,ca
Los artistas estuvieron brutales,positive,es
"Regular, però acceptable",neutral,ca
Demasiado caro para lo que ofrecen,negative,es
"Estuvo bien organizado, sin más",neutral,es
¡Qué pasada de noche!,positive,es
El menjar estava deliciós,positive,ca
El festival va ser com sempre,neutral,ca
M'ho he passat molt bé,positive,ca
Organització molt dolenta,negative,ca
El so era molt dolent,negative,ca
Res fora del normal,neutral,ca
Muy buen sonido este año,positive,es
El festival fue como otros años,neutral,es
Los artistas estuvieron brutales,positive,es
Todo salió perfecto,positive,es
Qué buena organización,positive,es
El ambiente fue espectacular,positive,es
Tot va sortir perfecte,positive,ca
"Regular, pero aceptable",neutral,es
Una experiència normal,neutral,ca
Els lavabos feien fàstic,negative,ca
Me lo he pasado genial,positive,es
La comida estaba deliciosa,positive,es
"Estuvo bien organizado, sin más",neutral,es
"Regular, però acceptable",neutral,ca
El sonido era pésimo,negative,es
L'ambient va ser espectacular,positive,ca
M'ho he passat molt bé,positive,ca
El menjar estava deliciós,positive,ca
