original_tweet_id,original_tweet_text,Assigned_Topic_ID,Assignment_Confidence,Assigned_Topic_Name
0,Lildami lo dieron todo toa,0,0.6173788150384787,público
1,me encantó la comida del festival xq,-1,0.1553663293023996,Unknown
2,The Tyets hizo vibrar al público,0,1.0,público
3,Audio brutal,1,1.0,audio
4,La comida estuvo increíble,-1,0.15620706630644718,Unknown
5,esperamos muchísimo para entrar,2,1.0,ambiente
6,Ambiente regular como siempre xq,2,1.0,ambiente
7,Audio brutal,1,1.0,audio
8,Sonido distorsionado y muy alto porque fue brutal,3,1.0,sonido
9,Audio brutal,1,1.0,audio
10,The Tyets lo dieron todo,0,0.5722883682136481,público
11,Quevedo estuvo genial,0,0.549924207502897,público
12,Sonido distorsionado y muy alto,3,1.0,sonido
13,audio brutal toa,1,1.0,audio
14,Bad Gyal lo dieron todo,0,0.17763831282306577,público
15,La comida estuvo increíble,-1,0.1562515914047722,Unknown
16,me encantó la comida del festival bno,-1,0.1550810295675831,Unknown
17,No había casi colas,-1,0.17637404672291102,Unknown
18,El sonido fue perfecto ya que fue brutal,4,1.0,volumen
19,Muy buen ambiente cuando fue brutal,0,0.8514535251781236,público
20,Tiempos de espera razonables,-1,0.18914332388197178,Unknown
21,Tiempos de espera razonables,-1,0.1891283669679947,Unknown
22,Muy mal organizado todo porque fue brutal,1,1.0,audio
23,Tiempos de espera razonables k,-1,0.18855038687206,Unknown
24,Ambiente regular como siempre,2,1.0,ambiente
25,Esperamos muchísimo para entrar,2,1.0,ambiente
26,Ambiente cargado y mal rollo,1,0.2667408699716314,audio
27,Me encantó la comida del festival porque fue brutal,-1,0.1573519499950403,Unknown
28,desastre en la organización,5,1.0,organización
29,La comida estuvo increíble,-1,0.15613147280541076,Unknown
30,Organización como cualquier festival,-1,0.15887321104509003,Unknown
31,Demasiada gente agobiante,-1,0.17019174452954328,Unknown
32,The Tyets estuvo genial,0,0.554521496071506,público
33,Rosalía lo dieron todo,0,1.0,público
