tweet,aspect,sentiment,idioma
Lildami lo dieron todo toa,artistas,positive,es
me encantó la comida del festival xq 🔥,comida,negative,es
The Tyets hizo vibrar al público,artistas,negative,es
Audio brutal,sonido,negative,es
La comida estuvo increíble 🙌,comida,neutral,es
esperamos muchísimo para entrar,colas,positive,es
Ambiente regular como siempre xq,ambiente,negative,es
Audio brutal,sonido,positive,es
Sonido distorsionado y muy alto porque fue brutal,sonido,negative,es
Audio brutal,sonido,positive,es
The Tyets lo dieron todo 👌,artistas,neutral,es
Quevedo estuvo genial,artistas,neutral,es
Sonido distorsionado y muy alto,sonido,negative,es
audio brutal toa,sonido,negative,es
Bad Gyal lo dieron todo,artistas,neutral,es
La comida estuvo increíble,comida,negative,es
me encantó la comida del festival bno,comida,neutral,es
No había casi colas,colas,positive,es
El sonido fue perfecto ya que fue brutal,sonido,negative,es
Muy buen ambiente cuando fue brutal,ambiente,positive,es
Tiempos de espera razonables,colas,positive,es
Tiempos de espera razonables,colas,neutral,es
Muy mal organizado todo porque fue brutal 😋,organización,negative,es
Tiempos de espera razonables k,colas,negative,es
Ambiente regular como siempre,ambiente,positive,es
Esperamos muchísimo para entrar 🤯,colas,negative,es
Ambiente cargado y mal rollo,ambiente,neutral,es
Me encantó la comida del festival porque fue brutal,comida,positive,es
desastre en la organización 💥,organización,positive,es
La comida estuvo increíble,comida,positive,es
Organización como cualquier festival 🤯,organización,neutral,es
"Demasiada gente, agobiante",ambiente,neutral,es
The Tyets estuvo genial,artistas,neutral,es
Rosalía lo dieron todo,artistas,neutral,es
tiempos de espera razonables xq,colas,positive,es
Colas interminables un desastre,colas,positive,es
"Demasiada gente, agobiante",ambiente,positive,es
Muy buen ambiente 🔥,ambiente,positive,es
Tiempos de espera razonables,colas,neutral,es
Sonido distorsionado y muy alto 💥,sonido,neutral,es
Muy buen ambiente toa,ambiente,negative,es
Sonido distorsionado y muy alto,sonido,neutral,es
Ambiente cargado y mal rollo cuando fue brutal,ambiente,negative,es
Carísima y mala la comida,comida,positive,es
Esperamos muchísimo para entrar super biennn,colas,negative,es
Tiempos de espera razonables genialll,colas,negative,es
"Comida normal, nada especial",comida,neutral,es
Organización como cualquier festival,organización,negative,es
el sonido fue perfecto,sonido,neutral,es
lildami estuvo genial 🙌,artistas,negative,es
Audio brutal,sonido,positive,es
Buhos hizo vibrar al público bno,artistas,positive,es
rosalía decepcionante,artistas,negative,es
Muy buen ambiente,ambiente,positive,es
Esperamos muchísimo para entrar cuando fue brutal 💥,colas,positive,es
Buhos estuvo genial,artistas,negative,es
Aitana decepcionante,artistas,positive,es
Audio brutal,sonido,positive,es
Esperamos muchísimo para entrar bno,colas,neutral,es
No había casi colas,colas,negative,es
Lildami lo dieron todo,artistas,positive,es
Sonido distorsionado y muy alto porque fue brutal,sonido,negative,es
Esperamos muchísimo para entrar,colas,positive,es
organización como cualquier festival,organización,neutral,es
"comida normal, nada especial 🔥",comida,neutral,es
"Comida normal, nada especial",comida,neutral,es
Desastre en la organización,organización,negative,es
Muy mal organizado todo,organización,neutral,es
Organización como cualquier festival bno,organización,negative,es
tiempos de espera razonables,colas,positive,es
Muy mal organizado todo,organización,neutral,es
Colas interminables un desastre 😭,colas,negative,es
Ambiente cargado y mal rollo,ambiente,neutral,es
Muy mal organizado todo genialll,organización,positive,es
Rigoberta Bandini hizo vibrar al público,artistas,positive,es
bad gyal lo dieron todo cuando fue brutal,artistas,positive,es
Muy mal organizado todo,organización,neutral,es
ambiente cargado y mal rollo,ambiente,positive,es
Rosalía lo dieron todo porque fue brutal,artistas,positive,es
Todo muy bien organizado,organización,negative,es
El sonido fue perfecto,sonido,negative,es
Ambiente cargado y mal rollo porque fue brutal,ambiente,negative,es
Muy buen ambiente mientras fue brutal,ambiente,negative,es
"demasiada gente, agobiante",ambiente,positive,es
Ambiente cargado y mal rollo,ambiente,negative,es
