text,is_offensive
És horrible que els asiàtics estan arruïnant el Cruïlla.,1
És horrible que els asiàtics són repugnants a el Cruïlla.,1
No suporto que les persones amb discapacitat haurien de ser expulsats de el Cruïlla.,1
Un dia tranquil al Cruïlla amb amics. Vam gaudir molt dels espectacles d’humor.,0
Per què les persones amb discapacitat haurien de ser expulsats de el Cruïlla.,1
L’ambient al Cruïlla sempre és tan acollidor i inclusiu.,0
No suporto que les persones de color són repugnants a el Cruïlla.,1
Acabo de tornar del Cruïlla. Cansat però feliç. Ja espero l’any vinent!,0
"No va ser la meva edició preferida del Cruïlla, però igualment ho vaig passar bé.",0
Per què els llatins són una plaga a el Cruïlla.,1
L’ambient al Cruïlla sempre és tan acollidor i inclusiu.,0
Vaig descobrir molt bona música indie al Cruïlla. M’encanta veure artistes nous.,0
Vaig passar-ho genial al Cruïlla aquest any. L’ambient va ser espectacular.,0
No suporto que els immigrants estan arruïnant el Cruïlla.,1
És horrible que els negres haurien de ser expulsats de el Cruïlla.,1
Em va encantar la diversitat d’artistes al Cruïlla. Una experiència única.,0
"El festival Cruïlla va ser increïble: el menjar, la música, la gent. Cap de setmana perfecte!",0
Odio que els negres són una plaga a el Cruïlla.,1
Em va encantar la diversitat d’artistes al Cruïlla. Una experiència única.,0
Un dia tranquil al Cruïlla amb amics. Vam gaudir molt dels espectacles d’humor.,0
"No va ser la meva edició preferida del Cruïlla, però igualment ho vaig passar bé.",0
"No va ser la meva edició preferida del Cruïlla, però igualment ho vaig passar bé.",0
Acabo de tornar del Cruïlla. Cansat però feliç. Ja espero l’any vinent!,0
"El festival Cruïlla va ser increïble: el menjar, la música, la gent. Cap de setmana perfecte!",0
"No va ser la meva edició preferida del Cruïlla, però igualment ho vaig passar bé.",0
"El festival Cruïlla va ser increïble: el menjar, la música, la gent. Cap de setmana perfecte!",0
Em va encantar la diversitat d’artistes al Cruïlla. Una experiència única.,0
Per què les persones amb discapacitat són repugnants a el Cruïlla.,1
"El festival Cruïlla va ser increïble: el menjar, la música, la gent. Cap de setmana perfecte!",0
Vaig passar-ho genial al Cruïlla aquest any. L’ambient va ser espectacular.,0
"No va ser la meva edició preferida del Cruïlla, però igualment ho vaig passar bé.",0
Em va encantar la diversitat d’artistes al Cruïlla. Una experiència única.,0
Odio que les persones trans no haurien d’estar a el Cruïlla.,1
No suporto que les persones no binàries són repugnants a el Cruïlla.,1
"El festival Cruïlla va ser increïble: el menjar, la música, la gent. Cap de setmana perfecte!",0
"No va ser la meva edició preferida del Cruïlla, però igualment ho vaig passar bé.",0
Odio que els llatins no haurien d’estar a el Cruïlla.,1
"No va ser la meva edició preferida del Cruïlla, però igualment ho vaig passar bé.",0
No suporto que els asiàtics em fan fàstic a el Cruïlla.,1
És horrible que els negres són una plaga a el Cruïlla.,1
"No va ser la meva edició preferida del Cruïlla, però igualment ho vaig passar bé.",0
L’ambient al Cruïlla sempre és tan acollidor i inclusiu.,0
"No va ser la meva edició preferida del Cruïlla, però igualment ho vaig passar bé.",0
Acabo de tornar del Cruïlla. Cansat però feliç. Ja espero l’any vinent!,0
