tweet,aspect,sentiment,idioma
Personal muy amable,organización,neutral,es
Lildami hizo vibrar al público,artistas,neutral,es
Sonido distorsionado y muy alto,sonido,negative,es
Mala señalización,organización,positive,es
Opciones veganas muy buenas 🤯,comida,neutral,es
Desastre en la organización,organización,neutral,es
Cerveza caliente,comida,negative,es
Tiempos de espera razonables,colas,positive,es
No había información clara,organización,positive,es
Stay Homas brutal 👌 lo dio todooo,artistas,neutral,es
Mala señalización,organización,positive,es
Ambiente festivo todo el rato,ambiente,neutral,es
Quevedo lo dio todo,artistas,neutral,es
Buhos fue espectacular,artistas,neutral,es
Ambiente espectacular,ambiente,positive,es
Rosalía estuvo genial,artistas,positive,es
Lildami hizo vibrar al público,artistas,neutral,es
Organización como cualquier festival,organización,negative,es
Ambiente espectacular,ambiente,positive,es
Sin colas para baños,colas,positive,es
Ambiente festivo todo el rato 🥵,ambiente,positive,es
Aitana lo dio todooo,artistas,neutral,es
Carísima y mala la comida,comida,negative,es
Demasiado cara la bebida,comida,negative,es
Buena gestión de accesos,organización,neutral,es
Quevedo lo dio todo,artistas,positive,es
Volumen demasiado alto 💥,sonido,neutral,es
Tiempos de espera razonables,colas,negative,es
Acceso súper ágil,colas,neutral,es
Quevedo lo dio todo,artistas,neutral,es
Poca variedad en la comida,comida,positive,es
Muy buen ambiente,ambiente,positive,es
Rigoberta Bandini increíble,artistas,negative,es
Muy bien todo,organización,negative,es
Muy mal organizado todo super biennn,organización,positive,es
Stay Homas brutal,artistas,negative,es
Buen rollo entre la gente,ambiente,negative,es
Volumen demasiado alto,sonido,negative,es
No se oía nada en la parte de atrás,sonido,positive,es
No había casi colas,colas,neutral,es
Acceso súper ágil,colas,neutral,es
Ambiente regular como siempre 👏 super biennn,ambiente,neutral,es
"Demasiada gente, agobiante 🔥 no convenciooo",ambiente,neutral,es
Colas interminables un desastre,colas,positive,es
Buena gestión de accesos,organización,positive,es
No se oía nada en la parte de atrás,sonido,negative,es
The Tyets lo dieron todo,artistas,positive,es
"Demasiada gente, agobiante",ambiente,negative,es
Mala señalización,organización,positive,es
Poca variedad en la comida,comida,negative,es
Muy mal organizado todo,organización,neutral,es
Rosalía estuvo genial,artistas,positive,es
Buhos fue espectacular,artistas,positive,es
Carísima y mala la comida,comida,positive,es
Sonido envolvente,sonido,positive,es
No había información clara,organización,positive,es
Rosalía estuvo genial,artistas,neutral,es
Ambiente regular como siempre,ambiente,positive,es
Ambiente regular como siempre,ambiente,positive,es
El sonido fue perfecto,sonido,positive,es
Esperamos muchísimo para entrar,colas,negative,es
Carísima y mala la comida toa,comida,neutral,es
Volumen demasiado alto,sonido,negative,es
